Date,MA,UNH,LLY,WMT,AAPL,ORCL,V,TSLA,AVGO,JPM,NVO,GOOGL,META,COST,TSM,MSFT,XOM,NVDA,AMZN
2014-12-08,82.78504943847656,86.15143585205078,60.194881439208984,23.036693572998047,25.030839920043945,35.422454833984375,61.329097747802734,14.290666580200195,7.668801307678223,47.541561126708984,19.040721893310547,26.47095489501953,76.29029846191406,115.31495666503906,17.0764102935791,40.95964050292969,59.31163024902344,0.4992242753505707,15.331999778747559
2014-12-09,82.59698486328125,87.09988403320312,59.682437896728516,22.853445053100586,25.41387939453125,35.8505744934082,61.57154846191406,14.459333419799805,7.815766334533691,47.374671936035156,19.11128044128418,26.739288330078125,76.60932922363281,115.89018249511719,17.137123107910156,40.865211486816406,59.104671478271484,0.49754416942596436,15.625
2014-12-10,81.1771240234375,85.43582916259766,58.72370529174805,22.694820404052734,24.930631637573242,35.037147521972656,61.00741195678711,13.989333152770996,7.557628631591797,46.03194046020508,18.999223709106445,26.3367862701416,75.9513168334961,113.62971496582031,16.841129302978516,40.272705078125,57.351829528808594,0.48650360107421875,15.291999816894531
2014-12-11,82.4559555053711,85.98764038085938,59.18653869628906,22.92728614807129,24.85714340209961,34.90015411376953,61.33374786376953,13.925333023071289,7.656616687774658,46.380897521972656,18.932823181152344,26.53978157043457,77.49667358398438,114.56954956054688,16.803186416625977,40.504539489746094,57.69464874267578,0.486263632774353,15.368000030517578
2014-12-12,79.10843658447266,85.15129852294922,57.483917236328125,22.92181968688965,24.43624496459961,34.206626892089844,59.85588836669922,13.800000190734863,7.553821563720703,45.546451568603516,18.45970916748047,26.011093139648438,77.59636688232422,111.70960235595703,16.674161911010742,40.315635681152344,56.01296615600586,0.47114297747612,15.366000175476074
2014-12-15,79.55978393554688,84.72882843017578,57.583091735839844,22.95737075805664,24.102209091186523,35.19983673095703,59.837242126464844,13.602666854858398,7.478432655334473,44.87886428833008,18.111099243164062,25.72829246520996,76.7588882446289,111.96073913574219,16.651399612426758,40.07518768310547,56.20700454711914,0.469702810049057,15.303500175476074
2014-12-16,77.70736694335938,82.64228820800781,57.244239807128906,22.689346313476562,23.77261734008789,34.78884506225586,59.070343017578125,13.187333106994629,7.411423206329346,44.325096130371094,17.96584701538086,24.846477508544922,74.4657974243164,111.24773406982422,16.27191734313965,38.77857208251953,55.89007568359375,0.46442270278930664,14.753000259399414
2014-12-17,79.67261505126953,85.47896575927734,58.0872917175293,23.036693572998047,24.364992141723633,35.242652893066406,60.392024993896484,13.721332550048828,7.565031051635742,45.34161376953125,18.086204528808594,25.259952545166016,75.88153076171875,112.88436126708984,16.42371368408203,39.2766227722168,57.57822036743164,0.4833834767341614,14.944000244140625
2014-12-18,81.73189544677734,88.1517562866211,59.88081741333008,23.504365921020508,25.086515426635742,38.83028030395508,61.57619857788086,14.550666809082031,7.768316745758057,46.638824462890625,18.426511764526367,25.667444229125977,78.16465759277344,114.6910629272461,16.537551879882812,40.80508804321289,58.96236038208008,0.4853036403656006,14.886500358581543
2014-12-19,81.28053283691406,88.3673324584961,59.83948516845703,23.29103660583496,24.892776489257812,39.38682174682617,60.995765686035156,14.619333267211914,7.653685092926025,46.98019790649414,18.181652069091797,25.937774658203125,79.64020538330078,114.8612289428711,16.84872055053711,40.92530822753906,60.566429138183594,0.4901038408279419,14.994999885559082
