Date,LLY,ORCL,AAPL,NVDA,MA,AMZN,V,MSFT,UNH,META,JPM,NVO,COST,WMT,TSM,TSLA,AVGO,GOOGL,XOM
2014-12-08,60.194881439208984,35.42246627807617,25.030845642089844,0.49922436475753784,82.78507232666016,15.331999778747559,61.329105377197266,40.95966339111328,86.15148162841797,76.29029846191406,47.541561126708984,19.040725708007812,115.31490325927734,23.03668212890625,17.076404571533203,14.290666580200195,7.6688032150268555,26.47095489501953,59.311641693115234
2014-12-09,59.682437896728516,35.85057067871094,25.41387939453125,0.4975442588329315,82.59697723388672,15.625,61.57152557373047,40.86519241333008,87.09986877441406,76.60933685302734,47.374671936035156,19.111276626586914,115.89018249511719,22.853439331054688,17.13712501525879,14.459333419799805,7.815765857696533,26.739288330078125,59.10466384887695
2014-12-10,58.72368621826172,35.03715896606445,24.930627822875977,0.4865037202835083,81.17713928222656,15.291999816894531,61.00741958618164,40.272701263427734,85.43580627441406,75.95132446289062,46.031944274902344,18.999223709106445,113.62971496582031,22.694814682006836,16.841129302978516,13.989333152770996,7.557628154754639,26.3367862701416,57.35185623168945
2014-12-11,59.186546325683594,34.9001579284668,24.85713768005371,0.4862636625766754,82.45592498779297,15.368000030517578,61.33375930786133,40.50454330444336,85.98765563964844,77.49667358398438,46.380889892578125,18.932825088500977,114.56957244873047,22.927284240722656,16.80318832397461,13.925333023071289,7.656619071960449,26.53978157043457,57.69463348388672
2014-12-12,57.48391342163086,34.206607818603516,24.436250686645508,0.47114306688308716,79.1084213256836,15.366000175476074,59.855892181396484,40.31562423706055,85.15131378173828,77.59636688232422,45.546424865722656,18.459707260131836,111.70960998535156,22.921815872192383,16.674165725708008,13.800000190734863,7.553818702697754,26.011093139648438,56.012977600097656
2014-12-15,57.58311462402344,35.1998405456543,24.102210998535156,0.46970298886299133,79.5597915649414,15.303500175476074,59.83724594116211,40.07520294189453,84.72881317138672,76.75888061523438,44.87887191772461,18.11109733581543,111.96076202392578,22.95737075805664,16.65139389038086,13.602666854858398,7.478433609008789,25.72829246520996,56.20701599121094
2014-12-16,57.2442512512207,34.788848876953125,23.77262306213379,0.4644225835800171,77.70736694335938,14.753000259399414,59.07034683227539,38.77857971191406,82.64230346679688,74.4657974243164,44.325096130371094,17.965850830078125,111.24778747558594,22.689346313476562,16.271921157836914,13.187333106994629,7.411425590515137,24.846477508544922,55.89008331298828
2014-12-17,58.08728790283203,35.24265670776367,24.364980697631836,0.4833836257457733,79.672607421875,14.944000244140625,60.39202880859375,39.276611328125,85.47895050048828,75.88153839111328,45.341617584228516,18.08620262145996,112.88434600830078,23.03668212890625,16.4237060546875,13.721332550048828,7.5650315284729,25.259952545166016,57.57820129394531
2014-12-18,59.88080978393555,38.83028030395508,25.086517333984375,0.4853036105632782,81.73190307617188,14.886500358581543,61.57619094848633,40.805091857910156,88.1517562866211,78.16465759277344,46.638816833496094,18.4265079498291,114.6910629272461,23.504369735717773,16.537551879882812,14.550666809082031,7.768317222595215,25.667444229125977,58.96237564086914
2014-12-19,59.83946990966797,39.3868293762207,24.892770767211914,0.4901040196418762,81.28054809570312,14.994999885559082,60.995765686035156,40.92530059814453,88.3673324584961,79.64021301269531,46.98019790649414,18.181655883789062,114.86125183105469,23.291046142578125,16.848722457885742,14.619333267211914,7.653682231903076,25.937774658203125,60.56644821166992
2014-12-22,59.029518127441406,39.08713150024414,25.151098251342773,0.49874427914619446,81.64726257324219,15.32699966430664,61.58783721923828,41.2000846862793,88.841552734375,81.20549774169922,46.98777770996094,18.310306549072266,116.02791595458984,23.62470054626465,16.977746963500977,14.84000015258789,7.749973297119141,26.54926109313965,60.36591720581055
2014-12-23,57.64095687866211,39.395389556884766,25.062021255493164,0.4956240653991699,82.39954376220703,15.314499855041504,61.83259963989258,41.60367965698242,88.67771911621094,80.36802673339844,47.39742660522461,17.729290008544922,116.78952026367188,23.701290130615234,16.85630989074707,14.731332778930664,7.701828479766846,26.871959686279297,61.18090057373047
2014-12-24,57.98809051513672,39.58375930786133,24.943998336791992,0.4937041401863098,82.53117370605469,15.15149974822998,62.38505554199219,41.33748245239258,88.53115844726562,80.52753448486328,47.39742660522461,18.17750358581543,116.38441467285156,23.63838005065918,16.96256446838379,14.817333221435547,7.697243690490723,26.780187606811523,60.656986236572266
2014-12-26,58.17820358276367,39.47245788574219,25.384923934936523,0.4941839575767517,82.53117370605469,15.454500198364258,62.14963150024414,41.11421585083008,88.41907501220703,80.53751373291016,47.45053482055664,18.123550415039062,116.21427917480469,23.76966094970703,16.932207107543945,15.187999725341797,7.689598560333252,27.00912094116211,60.28831100463867
2014-12-29,57.93849563598633,39.05289840698242,25.367115020751953,0.4934642016887665,82.44654846191406,15.60200023651123,61.87223434448242,40.744972229003906,88.2293930053711,79.77978515625,47.76155090332031,17.895296096801758,116.13320922851562,23.695817947387695,16.985334396362305,15.047332763671875,7.740802764892578,26.79914093017578,60.197784423828125
2014-12-30,57.55830383300781,38.82173156738281,25.057565689086914,0.48890379071235657,81.77891540527344,15.515000343322754,61.66709518432617,40.375736236572266,88.67771911621094,78.9822006225586,47.90568923950195,17.708539962768555,116.2547836303711,23.73684310913086,17.030868530273438,14.815333366394043,7.7071733474731445,26.697891235351562,60.1654052734375
2014-12-31,57.021053314208984,38.50490188598633,24.580997467041016,0.4812234342098236,81.01728057861328,15.517499923706055,61.11931610107422,39.88629150390625,87.16022491455078,77.78579711914062,47.47329330444336,17.56328582763672,114.84504699707031,23.487960815429688,16.985334396362305,14.827333450317383,7.6873064041137695,26.467464447021484,59.79673385620117
